Title,Image_URL,Full_Content,Excerpt,Date,Creator
Unmasking the Hidden Link: Mental Health and Financial Stress,,"As we observe Mental Health Awareness Week, it's crucial to shine a light on a topic that often lurks in the shadows: the profound connection between mental health and financial worries. This intricate relationship is a testament to the complexity of our lives and how seemingly unrelated aspects can significantly impact our well-being. Join us as we delve into the world of mental health, financial stress, and the transformative power of awareness. The Hidden StrugglesMental health challenges know no boundaries, and neither does financial stress. Unfortunately, society's expectations and stereotypes often discourage men from openly discussing their mental health. However, when we explore the interconnectedness of mental health and financial well-being, we uncover an essential narrative:The Silent Burden: Financial stress can be a heavy burden to bear. Whether it's mounting debts, job insecurity, or the pressure to provide for a family, these concerns can lead to feelings of anxiety, depression, and helplessness.The Masked Emotions: Men, in particular, might feel societal pressure to appear strong and stoic, concealing their emotional turmoil. This can exacerbate mental health issues, as internalizing feelings can lead to isolation and a lack of support.The Stigma Surrounding Seeking Help: Seeking professional help for mental health concerns can be challenging due to the stigma attached to it. When financial stress compounds these issues, it can be even more daunting for men to reach out for assistance. Understanding the ConnectionMental health and financial stress are not separate entities; they are interconnected in profound ways. Acknowledging this connection is crucial for our collective well-being.The Vicious Cycle: Financial stress can lead to mental health issues, and conversely, mental health issues can impact financial decision-making. When overwhelmed by stress and anxiety, individuals may make impulsive financial choices that worsen their financial situation.The Impact on Relationships: Financial stress can strain relationships, causing tension and conflict. This, in turn, can intensify feelings of isolation and loneliness, further affecting mental health.The Workplace: Mental health concerns can lead to decreased productivity at work, absenteeism, and even job loss, exacerbating financial worries. Taking ActionAs we commemorate Mental Health Awareness Week, let's take proactive steps to address these intertwined challenges:Encourage Open Conversations: Promote open dialogues about mental health and financial stress. Encourage men to express their feelings and seek support from friends, family, or mental health professionals.Promote Financial Literacy: Advocate for financial education, providing individuals with the knowledge and tools to make informed financial decisions and mitigate stress.Accessible Mental Health Services: Advocate for accessible and affordable mental health services to ensure that men have the support they need when facing these challenges.Workplace Initiatives: Encourage employers to implement mental health support programs, employee assistance programs, and financial wellness initiatives.Community Support: Foster communities where men can find camaraderie and support, reducing the isolation that often accompanies mental health struggles. Mental Health Awareness Week reminds us that mental health is a universal concern, and financial stress is a significant contributor to the challenges individuals face. By acknowledging the link between mental health and financial worries, we can create a more compassionate and understanding society. It's time to break the silence, debunk stereotypes, and extend a helping hand to men navigating the complex terrain of mental health and financial stress. Together, we can promote wellness, reduce stigma, and support one another on the path to mental and financial well-being. Unsure where to start on your financial journey? Why not take away some of the stress we have just talked about and book in a no-obligation discovery call with one of our Advisers?Click below to book directly and if you book and complete a discovery call by the 31st of October, you will be entered into our draw to win one of 2 $150 e-vouchers",,"Wed, 20 Sep 2023 21:34:53 +0000",holly.jones@foxplan.nz
10 Reasons a FoxPlan Financial Plan is for YOU,https://images.squarespace-cdn.com/content/v1/5db9d341bba34033898eef44/656e0048-8bd3-4d1f-a963-3519f1de3e13/smooth+the+road+.png?format=original,"Why You Should Consider a Financial PlanFinancial planning is the process of taking a comprehensive look at your financial situation and building a specific financial plan to reach your goals. As a result, financial planning often delves into multiple areas of finance, including investing, taxes, savings, retirement, your estate, insurances and more. A financial plan allows you to see the big picture of your finances and any plans you have in mind. A good financial plan includes details about your current situation, short-term goals, long-term goals and how you'll achieve them. Here are ten reasons why we think financial planning – with the help of a professional financial adviser – can help you pursue and reach your goals. Income: It's possible to manage income more effectively through planning. Managing income helps you understand how much money you'll need for payments, other monthly expenditures and savings.Cash Flow: Increase cash flow by carefully monitoring your spending patterns and expenses. Maintaining sensible spending habits and creating a well-managed budget will help you keep more of the money you make.Capital: An increase in cash flow can lead to a rise in the amount of capital you have, which means you'll be able to work towards improving your overall financial well-being and potentially start to consider ing investments Family Security: Providing for your family's financial security is an important part of the financial planning process. Having the proper insurance coverage and policies in place can help create peace of mind for you and your loved ones.Investment: A proper financial plan considers your personal circumstances, objectives and risk tolerance. It acts as a guide in helping choose the right types of investments to fit your needs, personality, and goals.Standard of Living: With proper planning, you can maintain a high quality of life even in times of economic difficulty. For example, you could make sure there is enough insurance coverage to replace any lost income should the household's main earner become unable to work.Financial Understanding: Better financial understanding can be achieved when measurable financial goals are set. It's important to set measurable financial goals, understand the effects of decisions and review your results. This gives you a whole new approach to budgeting and improves control over your financial lifestyleAssets: A nice 'cushion' in the form of assets is desirable. But many assets come with liabilities attached. So, it becomes crucial to determine the real value of an asset. Undertaking this process will help build assets that don't become a burden in the future.Savings: One thing that most people are aware of is the importance of starting to save for your future. It used to be called saving for a rainy day, but sudden financial changes can still throw you off track. It is good to have some investments with high liquidity. These investments can be utilized in times of emergency or for educational purposes. Ongoing Advice: Establishing a relationship with a financial adviser you can trust is crucial to achieving your goals. Your financial adviser will meet with you to assess your current financial circumstances and develop a comprehensive plan customized for you. Financial planning is an ongoing process that can reduce your stress about money, support your current needs and help you build a nest egg for your long-term goals, like retirement.Creating a financial plan is important because it allows you to make the most of your assets, helps ensure you meet your future goals and gives you the confidence to weather any bumps along the way.We help people understand their current financial situation, assist them with knowledge and skills, as well as offer guidance and advice to achieve their short, medium and long-term goals. A total Financial Plan consists of three key areas; control of money, confidence in your investments and certainty of plan B.",,"Sun, 09 Oct 2022 23:41:39 +0000",holly.jones@foxplan.nz
How to Build Wealth AND Enjoy Life - Part 1,https://images.squarespace-cdn.com/content/v1/5db9d341bba34033898eef44/5edf07a9-b687-4564-8726-31bed9f90fbe/Untitled+design+%2840%29.png?format=original,"Building wealth while also enjoying life has always been a hotly debated topic. Whether it is a parent, sibling, or friend, when someone tells you to save, invest, and think smartly about your future, it is typically met with this common objection; “but I’d rather have fun, live my life and spend my money now”. So I say, why not both? The Money Personality SpectrumFirst, we must acknowledge that having both can be very difficult for some. Everyone has their own money personality. On one side of the scale, you’ve got austerity - beyond tight with money and spending money makes their stomach turn. To be so far on this side of the scale means you have an unhealthy relationship with spending and a fear of the long-term outcomes of spending money inappropriately.On the other end of the scale, there is recklessness, where there is absolutely no care or thought whatsoever for spending money. Both of these extremes can be just as damaging to building wealth and having fun at the same time. Both sides of the scale make for bad financial planning. The Dangers of ExtremesYou want to enjoy yourself, especially when you're in your twenties and thirties wanting to eat nice food, do more with your friends, and see more of the world. You should not feel guilty about doing those things, as long as you have got somewhat clear objectives and a clear way forward and how you're going to achieve those longer-term goals. So not jeopardizing the fun, but just having a bit of control. Embracing Enjoyment Without GuiltThe only way to achieve that is by actually sitting down and asking yourself “Can I achieve my important long-term goals and still have fun?”, because if you don't actually ask that question and look at it and figure out what those long-term objectives are, then you are really just guessing and you might guess “No, I can't. So I won't have that fun”. That's just a guess, you have to sit down and get some clarity.Striking a Balance: Long-Term Goals and FunIf you can measure what's coming in, what's going out, where it's actually going, and what you're going to need to be able to achieve those objectives and everything left over, you can allocate towards having fun. But it would be so scary to do that if you didn't know that you could. The Importance of ClarityOnce you know your expenditure, automate your spending so you know what you need and then have your goal accounts for different goals. So you have your travel fund, you have your car fund, whatever it may be, and then you can allocate resources to that and when it comes time to go on that holiday or buy that car, you can spend it without guilt because you know everything else is going to be fine.Delve further into how to build wealth while enjoying your life in our next blog where we will highlight the drawbacks of relying on a single savings account for your many financial goals, stressing the need to create separate accounts to ensure clarity and prevent unexpected setbacks.",,"Thu, 25 Jan 2024 19:41:02 +0000",holly.jones@foxplan.nz
Making Sense of Common Finance Terms,https://images.squarespace-cdn.com/content/v1/5db9d341bba34033898eef44/01ca8daa-8f51-4db2-81da-2d5ea58597ed/Untitled+design+-+2024-03-15T113529.961.png?format=original,"Navigating the world of finance can often feel like deciphering a foreign language, especially when bombarded with complex jargon and acronyms. In this blog, we aim to demystify some of the most commonly used terms, making financial concepts more accessible to everyone. S&P 500: You've probably heard this term thrown around frequently. But what exactly is the S&P 500? Simply put, it's a list of the top 500 companies in the US based on their market capitalisation. Think of it as a barometer for the overall performance of the US stock market. Leverage: When someone mentions leverage, they're essentially talking about using borrowed funds to amplify potential returns. For instance, leveraging equity in your home to invest in additional properties or ventures. Net Worth: Your net worth is a straightforward concept—it's the difference between your assets (what you own) and your liabilities (what you owe). Calculating your net worth provides a snapshot of your financial health. Equity: Equity represents ownership. For example, if you own a property valued at $1 million and have a mortgage of $400,000, your equity in the property is $600,000—the portion you truly own. Asset Allocation: Asset allocation refers to the mix of investments in your portfolio. This mix typically includes stocks, bonds, real estate, and cash. Your asset allocation should align with your investment goals, risk tolerance, and time horizon. Socially Responsible Investing (SRI): SRI, also known as ethical or sustainable investing, involves selecting investments based on environmental, social, and governance (ESG) criteria. This may include excluding companies involved in controversial industries or favoring those with strong sustainability practices. Understanding these fundamental terms can empower individuals to make smarter financial decisions. Whether you're planning for retirement, managing investments, or simply aiming to build wealth, clarity in financial language can pave the way for greater financial literacy and success. Let's break down the barriers of finance jargon and embrace a more accessible approach to wealth management.",,"Fri, 22 Mar 2024 00:01:03 +0000",holly.jones@foxplan.nz
Investment Newsletter March 2024,https://images.squarespace-cdn.com/content/v1/5db9d341bba34033898eef44/1712028433519-498AAY385ZVFMBBSCW1G/image-asset.jpeg?format=original,"Dear Valued Investors,I’d like to introduce myself, Chelsea Quinn, your recently appointed dedicated Investment Support Specialist here at FoxPlan. Some of you may recognise my name from recent emails regarding the Consilium Phase 2 changes. I’m excited to be part of your investment experience.Consilium Phase 2 Updates: Smooth Sailing AheadFirst and foremost, thank you to everyone who reached out with feedback and questions. For everyone who confirmed they were happy to make the suggested changes, this has all been taken care of and the timeframes for any trading requests for the accounts involved are expected to be back to normal from the 8th of April 2024. Now, let’s talk about something equally important: financial literacy. As investors, we often find ourselves navigating a complex landscape of jargon, numbers, and market fluctuations. But how well do we truly understand these intricacies? Let’s explore the perception gap—the space between what we think we know and what we actually know. Financial Confidence vs. Financial Literacy: The Kiwi ParadoxThe Financial Services Council (FSC) Research Report 2023Can Kiwis truly feel financially confident amidst a decline in financial literacy? The FSC’s latest research delves into this paradox, revealing a significant gap between perceived financial confidence and actual financial literacy.The Perception GapA staggering 82% of Kiwis report feeling financially confident. However, when it comes to financial literacy, only 47% demonstrate a solid understanding of basic financial concepts. This discrepancy raises important questions about the roots of financial confidence and the reality of financial knowledge among New Zealanders.Financial Trivia vs. Self-PerceptionThe FSC’s approach involved testing actual knowledge through ‘financial trivia’ rather than relying on self-assessment. The findings are telling:Interest Rates vs. Inflation: Only 58% correctly understood that with a savings interest rate lower than inflation, their purchasing power decreases.Investment Diversification: 73% grasped the concept of diversification, recognising that investing in multiple companies is less risky than a single-company investment.Risk vs. Return: A high 90% acknowledged that high returns typically come with high risks.KiwiSaver Fund Options: The knowledge of KiwiSaver funds was less clear-cut, with just over half (57%) understanding that a growth fund entails higher risk compared to a balanced fund. Dissecting the ResultsThe research suggests several potential reasons for the perception gap:Complexity of Financial Products: The financial world’s complexity can lead to misunderstandings, even among those who feel confident.Educational Disparities: Differences in financial education across demographics can lead to varying levels of literacy.Media and Marketing Influence: The portrayal of financial products in media can create false impressions of simplicity and safety.Overconfidence: I’m sure you know what this is well enough.Age and Gender InsightsThe study also confirms that financial literacy tends to improve with age, and women generally outperform men in this area. Notably, 86% of individuals aged 60+ answered three or more questions correctly, compared to only 48% of 29-year-olds. Additionally, 66% of women got three or four questions right, surpassing the 57% of men who did the same.ConclusionThe FSC’s research underscores a clear disconnect between financial confidence and literacy. It’s evident that while many New Zealanders feel confident about their financial acumen, a deeper understanding of financial principles is needed to bridge the perception gap.Bridging the Gap: Empowering OurselvesWhether you’re looking to enhance your own financial literacy and financial plan or know someone who could benefit from having a financial plan and the part investment plays in growing wealth, FoxPlan’s investment seminars are a valuable resource. We encourage you to join and extend the invitation to friends and family. These seminars are designed to help participants of all ages bridge the perception gap in financial knowledge. The dates and times of our upcoming April seminars are below: · A Seminar for SME Success – 23rd of April 2024 at 5:30pm· Elevate Your Wealth: Investment seminar – 24th of April 2024 at 5:30pmYou can register for one of our upcoming seminars by clicking this link here. Figure 1: The Perception Gap, FSC research report 2023.*Very to Reasonably Confident respondents **Partially/Not Confident respondentsFor a more detailed analysis and insights, refer to the full FSC research report 2023. You can register for a copy of it by following this link here.",,"Tue, 02 Apr 2024 03:37:02 +0000",holly.jones@foxplan.nz
Securing Your Child's Future: Building an Education Fund,,"Are you one of the many parents contemplating the financial burden of providing private education for your children? It's a common concern, and rightfully so. The costs associated with primary, intermediate, and tertiary education can be daunting. In this blog, we'll delve into this topic, discussing strategies to ease the financial strain and secure your child's educational future.Let's break down some key points:Understanding the Costs Private education comes with a hefty price tag. From daycare expenses to tertiary education fees, the numbers can quickly add up. For instance, daycare costs alone can amount to around $20,000 per year for a single child.Many parents aspire to financially support their children's education, whether partially or fully. Some opt to cover accommodation expenses, while others commit to funding school fees. Regardless of the approach, meticulous planning is essential.Setting Financial GoalsIt's crucial to establish clear financial goals tailored to your family's circumstances. For example, some parents pledge $20,000 annually for each year of tertiary education. However, it's essential to recognise that the timeframe for meeting these expenses doesn't necessarily align with the start of tertiary education. Start saving or investing years before your children are due to need the money to give yourself a head start and reduce stress.Investment StrategiesInvesting early can significantly alleviate the financial burden. By starting to save as soon as your child is born and consistently contributing a modest amount each week, fortnight or month, you can accumulate a substantial sum over time. For example, setting aside $100 per month with a modest 6% return could yield $46,000 by the time your child turns 20.Taking advantage of compounding interest can amplify your savings over the long term. By investing in diversified portfolios, such as shares, you stand to benefit from historically higher returns compared to traditional savings vehicles like term deposits.Balancing Risks and RewardsWhile term deposits offer stability, they often fail to outpace inflation, resulting in a loss of purchasing power over time (You’ve gained money but things cost more now so you really haven’t). On the other hand, investing in the share market entails higher risk but historically higher returns, especially over extended periods.Long-Term PerspectiveWhen considering investment options, it's crucial to evaluate their alignment with long-term financial goals, such as retirement planning. While short-term fluctuations in the market may be unsettling, maintaining a steadfast approach and focusing on long-term growth potential is key.Building an education fund for your children requires careful consideration, strategic planning, and a long-term perspective. By starting early, setting realistic goals, and leveraging investment opportunities, you can provide your children with the gift of education without sacrificing your financial well-being. Remember, it's never too early to start investing in your child's future.",,"Mon, 19 Feb 2024 01:52:30 +0000",holly.jones@foxplan.nz
July 2023 - Quarterly Investment Update,,"Good afternoon,We hope you are keeping warm as the winter season embraces us.We are pleased to enclose our winter update covering the reporting period from April to June 2023.Despite a sell-off early in April, most global equity markets finished the quarter higher as concerns around a potential US debt default eased and on evidence the global economy was holding up in the face of higher interest rates.Within the update, the lead market commentary article provides an overview of the quarter and highlights several drivers of the recent returns, including the rise of artificial intelligence and the potential impact of recessions.A more detailed summary of the various market returns through the quarter and over longer time horizons is covered by the key market movements section.The feature article by Consilium titled ‘Don’t fall for the rise in disinformation and scams’ takes a look at the rising threat of financial disinformation and scams, highlighting the importance of remaining vigilant and having a trusted financial adviser on your side. Looking ahead, we are starting to see inflation pressures ease, both in New Zealand and overseas. As this trend strengthens, we will eventually begin to see more stimulatory central bank policy settings aimed at supporting and boosting growth in 2024 and beyond.We look forward to keeping you informed on the performance of markets and investments throughout the coming months. We are only a phone call or an email away should you wish to discuss anything. Please get in contact with your adviser or contact us on 0800 NO STRESS (0800 667 873) or email at info@foxplan.nz if you have any questions or would like your adviser to talk through your current investment plan.Kind Regards,The FoxPlan Team",,"Mon, 31 Jul 2023 02:38:49 +0000",holly.jones@foxplan.nz
5 Tips for Property Investing,https://images.squarespace-cdn.com/content/v1/5db9d341bba34033898eef44/1579610252662-S64BPJ5BPTBR8646F3OU/image-asset.jpeg?format=original,"If you’re looking to invest in property it’s very important to have an investment strategy. Long term property investing can form part of retirement planning and generally you’ll buy a property and hold for a length of time, paying down debt and gaining passive income over time. Alternatively you can take a short term approach and either buy, renovate and then sell on or hope to buy and sell when the market fluctuates. The short term strategy is about profit taking. With either approach there’s a few things you’ll need to have in place and various checks to perform before investing. Use a property Manager Selecting property management professionals to run your property portfolio is an important decision. Many disillusioned property investors will wax lyrical with anecdotal evidence damning the property sector as a minefield for novice property investors. This is common where investors have rushed in to an investment sector, whether Shares, Bonds, Collectibles, or Property. An important question to answer is: do I attempt to manage the investment myself or do I choose to delegate that responsibility.We are quite clear with our recommendations. Unless you have time to become a professional investor (study the sector, qualify and learn about the ramifications of inappropriate decision making) you should price in the cost of good management advice, then delegate that responsibility. Your choice of manager is critical. Whether fund manager or property manager, good Financial Planners and Mortgage Brokers know who the best professionals are in most investment areas. We certainly do not advocate investing in expensive assets in any sector then managing them in an amateurish fashion. Valuations Kerbside Valuation: often a kerbside valuation will allow sufficient information to discontinue negotiations. It is not expensive and will provide the opportunity to proceed with further more costly reports if the outcome to the kerbside valuation is positive.Registered Valuation, this report will tell you what the house is worth, comparable sales in the area, and may highlight items in need of work with the property. Depending on the level of borrowing, the bank may require a valuation, however even if they don’t it’s a good idea to get one done, to ensure you are not over capitalising by paying too much for the house.Separate Chattel Valuation: when purchasing a property for investment a separate chattel valuation is essential. Depreciation on building and chattels differs. Your accountant will need to be informed of both. This valuation can often be done at the same time as the full valuation, so will keep costs down as you will save the valuer making two trips. Pre-Purchase Checks Land information memorandum report (LIM), a report from the council showing all the things that have been lodged with the council, such as consents, title lodgements etc. This report can take up to 15 working days to be done, which often is much longer than any vendor will allow for conditions. You can either go to the council and look up the records yourself or have them do it for you.Builders report, a building inspection report will tell you if there are any problems with the house, any repairs that need doing, any potential building code violations, and other items of concern. If there are repairs to be done, you can decide to drop your price by enough to cover the repairs, don’t let the vendor do the repairs, make sure it is done by a qualified repairman of your choosing. In addition you can have the builders report give you a list of the items on the lim report, which may eliminate the need for one.Engineers report, the need for one of these reports will likely be indicated by something from the builders report. This report looks more closely at earthworks, and key structural things.Valuation for insuranceChemical residue report Understand the financials The balance sheet and profit and loss statement are critical (make sure the numbers stack up).Combing property investing with long term financial goals – the property investment should complement your financial plan as investing is only one part of total financial planning.You are not overly focused on negative gearing – tax advantages are a bonus.Understanding gross and net yield + return on investment + growth expectationIf your objective is for capital gain rather than yield – do not calculate above a 5% growth (inclusive of inflation)Do Not mix personal and business accounts. Think of the risks Look at risk factors – interest rate movement, rental supply and demand, unplanned maintenance, tenants, vacancy rates, likely demographic changes.Ensure correct ownership structure – to minimise tax, maximise asset protection and ensure complianceUse a team of specialists, before and after you buy.Run as a Business – measure, monitor, and manage.FoxPlan make available their property analysis as part of an overall financial plan. This in-depth financial analysis is dependent on factual input and some assumptions. Whilst we do not guarantee outcomes for property investors we certainly recommend an analysis of this type to determine likely outcomes match predetermined goals. Always, always, always run the numbers through an objective written procedure to determine comparative analysis. Do not buy on emotion – make decisions based on facts. The views and opinions expressed in this newsletter are not intended to be a personalised service for an individual retail client. The views and opinions are general in nature, may not be relevant to an individual's circumstances, and constitute class service only. Before making any investment, insurance or other financial decisions, you should consult a professional financial adviser of FoxPlan Limited. A disclosure statement is available on request, and free of charge.","If you’re looking to invest in property it’s very important to have an investment strategy. Long term property investing can form part of retirement planning and generally you’ll buy a property and hold for a length of time, paying down debt and gaining passive income over time. …","Mon, 04 Feb 2019 12:38:00 +0000",GuestUser
,,,,"Wed, 24 Aug 2022 20:25:12 +0000",paul.barnes@foxplan.nz
,,,,"Wed, 24 Aug 2022 20:23:16 +0000",paul.barnes@foxplan.nz
